Date,Campaign,Platform,Spend,Clicks,Impressions,Conversions
2026-05-24,Google Search - Brand,Google,120.50,150,1200,35
2026-05-24,Google GDN - Retargeting,Google,80.00,45,2500,4
2026-05-24,Meta Feed - Prospecting,Meta,250.00,320,8500,22
2026-05-24,Instagram Reels - Video,Meta,180.00,110,6000,6
2026-05-24,TikTok Spark - GenZ,TikTok,150.00,190,9500,8
2026-05-25,Google Search - Brand,Google,125.00,155,1250,38
2026-05-25,Google GDN - Retargeting,Google,85.00,48,2700,5
2026-05-25,Meta Feed - Prospecting,Meta,240.00,310,8200,20
2026-05-25,Instagram Reels - Video,Meta,190.00,115,6200,5
2026-05-25,TikTok Spark - GenZ,TikTok,160.00,200,9800,7
2026-05-26,Google Search - Brand,Google,118.00,148,1180,33
2026-05-26,Google GDN - Retargeting,Google,78.00,42,2400,3
2026-05-26,Meta Feed - Prospecting,Meta,260.00,335,8800,25
2026-05-26,Instagram Reels - Video,Meta,175.00,105,5800,6
2026-05-26,TikTok Spark - GenZ,TikTok,145.00,185,9200,9
2026-05-27,Google Search - Brand,Google,130.00,165,1300,40
2026-05-27,Google GDN - Retargeting,Google,90.00,52,2900,6
2026-05-27,Meta Feed - Prospecting,Meta,230.00,300,8000,18
2026-05-27,Instagram Reels - Video,Meta,200.00,120,6500,4
2026-05-27,TikTok Spark - GenZ,TikTok,170.00,210,10200,6
2026-05-28,Google Search - Brand,Google,115.00,142,1150,30
2026-05-28,Google GDN - Retargeting,Google,75.00,40,2300,3
2026-05-28,Meta Feed - Prospecting,Meta,270.00,350,9100,28
2026-05-28,Instagram Reels - Video,Meta,170.00,100,5600,7
2026-05-28,TikTok Spark - GenZ,TikTok,140.00,180,9000,10
2026-05-29,Google Search - Brand,Google,135.00,170,1350,42
2026-05-29,Google GDN - Retargeting,Google,95.00,55,3000,7
2026-05-29,Meta Feed - Prospecting,Meta,220.00,290,7800,16
2026-05-29,Instagram Reels - Video,Meta,210.00,125,6800,3
2026-05-29,TikTok Spark - GenZ,TikTok,180.00,220,10500,5
2026-05-30,Google Search - Brand,Google,110.00,135,1100,28
2026-05-30,Google GDN - Retargeting,Google,70.00,38,2200,2
2026-05-30,Meta Feed - Prospecting,Meta,280.00,360,9300,30
2026-05-30,Instagram Reels - Video,Meta,160.00,95,5400,8
2026-05-30,TikTok Spark - GenZ,TikTok,130.00,170,8800,11
2026-05-31,Google Search - Brand,Google,140.00,175,1400,45
2026-05-31,Google GDN - Retargeting,Google,100.00,60,3200,8
2026-05-31,Meta Feed - Prospecting,Meta,210.00,280,7500,15
2026-05-31,Instagram Reels - Video,Meta,220.00,130,7000,2
2026-05-31,TikTok Spark - GenZ,TikTok,190.00,230,10800,4
2026-06-01,Google Search - Brand,Google,105.00,130,1050,26
2026-06-01,Google GDN - Retargeting,Google,65.00,35,2100,2
2026-06-01,Meta Feed - Prospecting,Meta,290.00,370,9500,32
2026-06-01,Instagram Reels - Video,Meta,150.00,90,5200,8
2026-06-01,TikTok Spark - GenZ,TikTok,120.00,160,8500,12
2026-06-02,Google Search - Brand,Google,145.00,180,1450,48
2026-06-02,Google GDN - Retargeting,Google,105.00,62,3300,9
2026-06-02,Meta Feed - Prospecting,Meta,200.00,270,7200,14
2026-06-02,Instagram Reels - Video,Meta,230.00,135,7200,2
2026-06-02,TikTok Spark - GenZ,TikTok,200.00,240,11000,3
2026-06-03,Google Search - Brand,Google,100.00,125,1000,24
2026-06-03,Google GDN - Retargeting,Google,60.00,32,2000,1
2026-06-03,Meta Feed - Prospecting,Meta,300.00,380,9800,35
2026-06-03,Instagram Reels - Video,Meta,140.00,85,5000,9
2026-06-03,TikTok Spark - GenZ,TikTok,110.00,150,8200,13
2026-06-04,Google Search - Brand,Google,150.00,185,1500,50
2026-06-04,Google GDN - Retargeting,Google,110.00,65,3400,10
2026-06-04,Meta Feed - Prospecting,Meta,190.00,260,7000,12
2026-06-04,Instagram Reels - Video,Meta,240.00,140,7500,1
2026-06-04,TikTok Spark - GenZ,TikTok,210.00,250,11200,3
2026-06-05,Google Search - Brand,Google,95.00,120,950,22
2026-06-05,Google GDN - Retargeting,Google,55.00,30,1900,1
2026-06-05,Meta Feed - Prospecting,Meta,310.00,390,10000,38
2026-06-05,Instagram Reels - Video,Meta,130.00,80,4800,10
2026-06-05,TikTok Spark - GenZ,TikTok,100.00,140,8000,14
2026-06-06,Google Search - Brand,Google,155.00,190,1550,52
2026-06-06,Google GDN - Retargeting,Google,115.00,68,3500,11
2026-06-06,Meta Feed - Prospecting,Meta,180.00,250,6800,10
2026-06-06,Instagram Reels - Video,Meta,250.00,145,7800,1
2026-06-06,TikTok Spark - GenZ,TikTok,220.00,260,11500,2
